N_pile,SPT_L_Dq,SPT_P_Dq,SPT_L_Mey,SPT_P_Mey,L,D,Dq,Mey,Qu
144,7.75,13.67,8.71,13.67,14,30,545.07,655.47,830
145,5.45,7.67,5.69,7.67,13,20,246.72,272.1,413
146,7.36,8.33,7.25,8.33,16,30,472.81,459.47,759
147,7.92,11.33,8.13,11.33,15,25,380.92,473.65,563
148,9,3.67,8.21,3.67,14,25,314.81,325.62,541
149,6.7,10,6.83,10,11.5,25,299.76,407.33,541
150,8.27,9,8.15,9,13.45,20,259.29,364.85,393
151,7.08,16.67,8.64,16.67,14,25,391.39,594.1,523
152,5.1,8.33,5.5,9,12.2,18,209.42,261.42,338
153,7.33,18.67,8.86,18.67,13.9,20,303.27,508.04,328
154,12.1,22,13.17,22,11.9,20,282.32,682.99,358
155,7.3,15.33,8.75,15.33,12.1,20,260.54,462.85,335
156,7,16.67,8.5,16.67,10.3,20,235.41,471.88,327
157,5.78,8.67,5.91,8.67,10.6,28,312.68,395.91,580
158,7.7,21.33,9.25,19,12,40,723.82,1240.64,1210
159,5.9,10.67,6.5,10.67,12,28,360.3,463.41,704
160,6.8,15.67,8.08,14.75,12.3,40,648.42,990.99,987
161,6,14.33,7.17,12.5,12,33,478.86,648.92,991
162,23.2,45.67,29.29,40.75,7,40,923.21,2952.53,2400
163,12.8,51.67,22.71,42.25,7.35,40,1869.46,2825.03,2700
164,10.5,38.33,13.93,36.75,13.55,33,1194.26,1687.34,1800
165,12.8,51.67,22.71,42.25,7,40,1857.73,2825.03,1800
166,9.11,8.33,8.82,7.5,11,35,418.75,560.9,519
167,12.2,18.67,13.33,19.25,12,35,567.37,1152.5,440
168,11,19.67,12.5,19.67,10,26,343.12,803.61,880
